ID	project	sample	group	experiment	run	ftp_path	forward	forward_md5	reverse	reverse_md5
200213_SEQ082_DP8400008560TR_L01_SP1912230451	CNP0001930	PB15	Prydz_Bay	CNX0373398	CNR0453413	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410467/CNX0373398/CNR0453413/	200213_SEQ082_DP8400008560TR_L01_SP1912230451_R1.fq.gz	200213_SEQ082_DP8400008560TR_L01_SP1912230451_R1.fq.gz.md5	200213_SEQ082_DP8400008560TR_L01_SP1912230451_R2.fq.gz	200213_SEQ082_DP8400008560TR_L01_SP1912230451_R2.fq.gz.md5
200213_SEQ115_DP8400008439BR_L01_SP1912230388	CNP0001930	PB15	Prydz_Bay	CNX0373398	CNR0453414	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410467/CNX0373398/CNR0453414/	200213_SEQ115_DP8400008439BR_L01_SP1912230388_R1.fq.gz	200213_SEQ115_DP8400008439BR_L01_SP1912230388_R1.fq.gz.md5	200213_SEQ115_DP8400008439BR_L01_SP1912230388_R2.fq.gz	200213_SEQ115_DP8400008439BR_L01_SP1912230388_R2.fq.gz.md5
200227_SEQ091_DP8400008871TR_L01_SP1912230451	CNP0001930	PB15	Prydz_Bay	CNX0373398	CNR0453415	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410467/CNX0373398/CNR0453415/	200227_SEQ091_DP8400008871TR_L01_SP1912230451_R1.fq.gz	200227_SEQ091_DP8400008871TR_L01_SP1912230451_R1.fq.gz.md5	200227_SEQ091_DP8400008871TR_L01_SP1912230451_R2.fq.gz	200227_SEQ091_DP8400008871TR_L01_SP1912230451_R2.fq.gz.md5
DP8400007981BL_L01_read_1.fq.gz	CNP0001930	PB16	Prydz_Bay	CNX0373399	CNR0453416	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410468/CNX0373399/CNR0453416/	DP8400007981BL_L01_read_1.fq.gz	DP8400007981BL_L01_read_1.fq.gz.md5	DP8400007981BL_L01_read_2.fq.gz	DP8400007981BL_L01_read_2.fq.gz.md5
200107_SEQ065_DP800007397TR_L01_SP1912230326	CNP0001930	PB17	Prydz_Bay	CNX0373400	CNR0453417	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410469/CNX0373400/CNR0453417/	200107_SEQ065_DP800007397TR_L01_SP1912230326_R1.fq.gz	200107_SEQ065_DP800007397TR_L01_SP1912230326_R1.fq.gz.md5	200107_SEQ065_DP800007397TR_L01_SP1912230326_R2.fq.gz	200107_SEQ065_DP800007397TR_L01_SP1912230326_R2.fq.gz.md5
200107_SEQ065_DP800007398TR_L01_SP1912230326	CNP0001930	PB17	Prydz_Bay	CNX0373400	CNR0453418	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410469/CNX0373400/CNR0453418/	200107_SEQ065_DP800007398TR_L01_SP1912230326_R1.fq.gz	200107_SEQ065_DP800007398TR_L01_SP1912230326_R1.fq.gz.md5	200107_SEQ065_DP800007398TR_L01_SP1912230326_R2.fq.gz	200107_SEQ065_DP800007398TR_L01_SP1912230326_R2.fq.gz.md5
200120_SEQ012_FP100000754TR_L01_SP1912230452	CNP0001930	PB17	Prydz_Bay	CNX0373400	CNR0453419	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410469/CNX0373400/CNR0453419/	200120_SEQ012_FP100000754TR_L01_SP1912230452_R1.fq.gz	200120_SEQ012_FP100000754TR_L01_SP1912230452_R1.fq.gz.md5	200120_SEQ012_FP100000754TR_L01_SP1912230452_R2.fq.gz	200120_SEQ012_FP100000754TR_L01_SP1912230452_R2.fq.gz.md5
200120_SEQ012_FP100000779BL_L01_SP1912230452	CNP0001930	PB17	Prydz_Bay	CNX0373400	CNR0453420	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410469/CNX0373400/CNR0453420/	200120_SEQ012_FP100000779BL_L01_SP1912230452_R1.fq.gz	200120_SEQ012_FP100000779BL_L01_SP1912230452_R1.fq.gz.md5	200120_SEQ012_FP100000779BL_L01_SP1912230452_R2.fq.gz	200120_SEQ012_FP100000779BL_L01_SP1912230452_R2.fq.gz.md5
200120_SEQ013_FP100000755TR_L01_SP1912230389	CNP0001930	PB17	Prydz_Bay	CNX0373400	CNR0453421	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410469/CNX0373400/CNR0453421/	200120_SEQ013_FP100000755TR_L01_SP1912230389_R1.fq.gz	200120_SEQ013_FP100000755TR_L01_SP1912230389_R1.fq.gz.md5	200120_SEQ013_FP100000755TR_L01_SP1912230389_R2.fq.gz	200120_SEQ013_FP100000755TR_L01_SP1912230389_R2.fq.gz.md5
200322_SEQ114_DP8400009310TR_L01_SP1912230389	CNP0001930	PB17	Prydz_Bay	CNX0373400	CNR0453422	ftp.cngb.org/pub/CNSA/data5/CNP0001930/CNS0410469/CNX0373400/CNR0453422/	200322_SEQ114_DP8400009310TR_L01_SP1912230389_R1.fq.gz	200322_SEQ114_DP8400009310TR_L01_SP1912230389_R1.fq.gz.md5	200322_SEQ114_DP8400009310TR_L01_SP1912230389_R2.fq.gz	200322_SEQ114_DP8400009310TR_L01_SP1912230389_R2.fq.gz.md5
